Years,Overall Intentional,1 & 2 Fam Intentional,Multi Fam Intentional,Overall Playing with Heat Source,1 &2 Fam Playing with Heat Source,Multi Fam Playing with Heat Source,Overall Smoking,1 & 2 Fam Smoking,Mulit Fam Smoking,Overall Heating ,1 & 2 Fam Heating,Multi Fam Heating,Overall Cooking,1 & 2 Fam Cooking,Multi Fam Cooking,Overall Electrical Malfunction,1 & 2 Fam Electrical Malfunction,Multi Fam Electrical Malfunction,Overall Appliances ,1 & 2 Fam Appliances,Multi Fam Appliances,Overall Open Flame ,1 & 2 Open Flame ,Multi Fam Open Flame,Overall Other Heat,1 & 2 Fam Other Heat,Multi Fam Other Heat,Overall Other Equipment,1 & 2 Fam Other Equipment,Multi Fam Other Equipment,Overall Natural,1 & 2 Fam Natural,Multi Fam Natural,Overall Exposure,1 & 2 Fam Explosure,Multi Fam Exposure,Overall Equipment Malfunction,1 & 2 Fam Equipment Malfunction,Multi Fam Equipment Malfunction,"Overall Other Unintentional, Careless","1 & 2 Fam Other Unintentional, Careless","Multi Fam Other Unintentional, Careless",Overall Cause Under Investigation,1 & 2 Fam Cause Under Investigation,Multi Fam Cause Under Investigation
2003-01-01,761200000,542300000,153100000,180200000,142600000,34200000,363700000,243000000,103000000,497700000,435200000,35300000,379300000,266600000,96600000,1295000000,1033800000,177600000,328100000,268500000,45800000,982000000,782500000,159700000,746000000,565600000,134300000,143900000,132100000,7800000,470300000,418500000,37500000,293600000,160200000,116500000,543000000,429800000,96300000,1140600000,962900000,138200000,252100000,220000000,26400000
2004-01-01,716600000,554900000,125500000,154600000,106900000,43700000,375800000,228500000,133500000,414100000,332800000,60600000,320600000,220500000,85900000,1296700000,1075900000,174600000,265600000,212800000,32000000,1016900000,759600000,219900000,637600000,477900000,123000000,155200000,140900000,6000000,564300000,494500000,38800000,301300000,178900000,110100000,469600000,380800000,72100000,1114600000,848800000,209000000,293600000,214100000,74800000
2005-01-01,784600000,527700000,212000000,175700000,122100000,48700000,423600000,228900000,158400000,409800000,338600000,52800000,370700000,265500000,88700000,1564700000,1276700000,229700000,283900000,223200000,41200000,1135100000,840200000,242000000,717000000,585200000,100800000,180700000,167100000,10700000,490000000,447700000,32100000,327200000,192400000,104100000,553900000,433000000,82800000,1145900000,967600000,148800000,451100000,313100000,101700000
2006-01-01,719900000,527100000,104200000,152300000,108400000,40500000,434000000,239200000,176100000,421400000,377100000,32900000,324400000,229300000,84700000,1371200000,1135500000,185800000,313700000,243500000,52500000,964800000,726500000,192700000,1107600000,918300000,158000000,135700000,122600000,8500000,561700000,465800000,72500000,311900000,221500000,76700000,504800000,389200000,96600000,1204100000,963600000,194200000,405000000,293100000,95100000
2007-01-01,630800000,433400000,171000000,121900000,81900000,37400000,345800000,202000000,132000000,338800000,285600000,33500000,299100000,214400000,75000000,1326600000,1106300000,148200000,259400000,207000000,39300000,862000000,633400000,198700000,543600000,414400000,99400000,158200000,131000000,10800000,472700000,377400000,67500000,2066000000,1930500000,109700000,440600000,339300000,68400000,1130600000,930200000,144400000,357400000,233800000,110400000
2008-01-01,862600000,654200000,187000000,145600000,103400000,40700000,415900000,237800000,154900000,428800000,385200000,34300000,368200000,268000000,90900000,1528700000,1278300000,203800000,309600000,259200000,42400000,1297700000,731300000,189400000,595700000,419700000,111400000,204100000,182700000,16900000,617000000,537400000,49300000,936000000,763100000,163700000,558700000,453700000,95700000,1427700000,1151500000,244400000,399100000,325000000,68800000
2009-01-01,742000000,523000000,127100000,103700000,80900000,21700000,443000000,243100000,170800000,380600000,331300000,40800000,388900000,280500000,98100000,1443900000,1265000000,157000000,257600000,212500000,33600000,1007000000,819000000,155100000,646500000,492800000,113400000,189800000,169100000,15800000,520600000,449500000,49500000,443800000,218900000,186300000,551500000,443200000,88600000,1575200000,1287600000,236600000,475200000,382700000,65900000
2010-01-01,607600000,471000000,110100000,101000000,77100000,20000000,355600000,215200000,125600000,404600000,336200000,54200000,393700000,269600000,111300000,1259600000,1030700000,188900000,308300000,246500000,44100000,750700000,599900000,111100000,628500000,460700000,135300000,183600000,166000000,13200000,534300000,487900000,34100000,315600000,230400000,68300000,580800000,479200000,79400000,1410100000,1158100000,189300000,425800000,339400000,74900000
2011-01-01,580100000,447300000,111500000,104700000,79300000,21800000,357200000,187000000,156100000,341300000,293900000,34100000,387900000,249300000,128100000,1230400000,1023200000,158500000,273100000,220900000,41900000,728200000,585600000,120700000,589800000,399800000,164800000,165200000,138400000,15900000,585700000,511900000,50500000,426300000,282900000,131700000,505900000,386600000,103700000,1299000000,1036500000,159800000,437800000,341000000,79000000
2012-01-01,628800000,450600000,104200000,100300000,71600000,27900000,410800000,238700000,159300000,497000000,430100000,45900000,655800000,460900000,173200000,961200000,834000000,94100000,493800000,383200000,85000000,745300000,559300000,150700000,687100000,476200000,180300000,195200000,163000000,13500000,740300000,660100000,57400000,351800000,268000000,75200000,164200000,136400000,10000000,1321000000,1066900000,195300000,430400000,330600000,90900000
2013-01-01,550000000,360100000,142500000,81300000,61300000,17000000,332100000,176400000,128400000,597000000,509500000,67000000,603400000,408500000,160600000,1075200000,873200000,132600000,483500000,380200000,74800000,653600000,528800000,100100000,516100000,409500000,86300000,158600000,139600000,11100000,433900000,367600000,50400000,642000000,228100000,353300000,151800000,129200000,14800000,1210800000,1030300000,139500000,508500000,437800000,59400000
2014-01-01,442300000,335900000,87600000,60000000,45300000,13200000,263200000,162700000,97700000,691600000,588500000,76800000,625400000,403600000,204000000,1063800000,844000000,152600000,472600000,373800000,80100000,704200000,490800000,154300000,536700000,346400000,119000000,174200000,155400000,15300000,554500000,457000000,80100000,451600000,326600000,120600000,189300000,166400000,13800000,1256900000,972700000,211500000,411900000,284300000,109500000
2015-01-01,449400000,331500000,91800000,58400000,45000000,11700000,292400000,167000000,112800000,448500000,361900000,65800000,565700000,382100000,156800000,1085200000,881100000,143200000,385500000,297400000,69800000,704200000,516000000,133500000,758600000,374900000,341200000,195800000,173200000,15600000,517700000,413500000,56600000,491000000,394400000,87400000,293400000,247100000,36600000,1421700000,1140000000,211100000,448800000,325300000,96200000
2016-01-01,457600000,334200000,94100000,50500000,37900000,10800000,315600000,185600000,118200000,390500000,318800000,48100000,484200000,321400000,142000000,1024100000,842300000,134100000,390300000,279700000,95500000,600700000,456000000,113900000,452800000,326600000,96000000,179800000,161100000,13000000,529300000,424600000,77200000,1314900000,1160300000,115800000,252000000,205200000,32700000,1324300000,1093300000,166400000,499600000,349000000,113800000
