Years,Overall Intentional,1 & 2 Fam Intentional,Multi Fam Intentional,Overall Playing with Heat Source,1 &2 Fam Playing with Heat Source,Multi Fam Playing with Heat Source,Overall Smoking,1 & 2 Fam Smoking,Mulit Fam Smoking,Overall Heating ,1 & 2 Fam Heating,Multi Fam Heating,Overall Cooking,1 & 2 Fam Cooking,Multi Fam Cooking,Overall Electrical Malfunction,1 & 2 Fam Electrical Malfunction,Multi Fam Electrical Malfunction,Overall Appliances ,1 & 2 Fam Appliances,Multi Fam Appliances,Overall Open Flame ,1 & 2 Open Flame ,Multi Fam Open Flame,Overall Other Heat,1 & 2 Fam Other Heat,Multi Fam Other Heat,Overall Other Equipment,1 & 2 Fam Other Equipment,Multi Fam Other Equipment,Overall Natural,1 & 2 Fam Natural,Multi Fam Natural,Overall Exposure,1 & 2 Fam Explosure,Multi Fam Exposure,Overall Equipment Malfunction,1 & 2 Fam Equipment Malfunction,Multi Fam Equipment Malfunction,"Overall Other Unintentional, Careless","1 & 2 Fam Other Unintentional, Careless","Multi Fam Other Unintentional, Careless",Overall Cause Under Investigation,1 & 2 Fam Cause Under Investigation,Multi Fam Cause Under Investigation
2003-01-01,265,220,40,130,130,,500,320,120,155,135,10,110,95,10,360,335,20,80,70,10.0,310,220,75,195,150,35,110,110,,30,30,,,,,100,95,5.0,440,365,55,215,205,5
2004-01-01,255,220,35,60,45,5.0,505,380,95,200,185,10,200,120,65,350,315,25,80,65,10.0,295,225,55,220,190,25,40,30,,45,45,,25.0,25.0,,155,105,25.0,430,350,60,195,170,25
2005-01-01,350,280,55,55,30,20.0,510,350,120,220,205,20,135,75,55,310,270,40,30,20,5.0,240,150,45,220,165,40,45,35,,20,15,,20.0,5.0,15.0,120,90,30.0,410,370,30,205,160,40
2006-01-01,250,175,50,80,75,10.0,485,360,90,175,155,15,120,55,60,290,275,15,15,15,,205,140,55,185,140,40,35,25,10.0,10,10,,15.0,5.0,10.0,90,65,20.0,365,310,35,165,120,35
2007-01-01,310,265,35,55,50,,470,340,100,175,160,15,105,80,25,295,270,15,35,35,,245,175,60,240,185,40,60,35,25.0,10,5,,35.0,35.0,,120,115,5.0,380,325,50,240,205,35
2008-01-01,310,245,55,45,40,,390,275,90,145,130,5,85,70,15,380,325,55,55,45,10.0,210,160,40,130,105,20,75,65,5.0,30,30,,10.0,10.0,,90,70,10.0,430,370,50,265,220,40
2009-01-01,265,210,25,45,35,10.0,360,275,70,160,150,10,105,95,10,280,225,50,40,30,10.0,170,125,35,200,120,45,70,55,5.0,15,15,,5.0,5.0,,115,100,5.0,410,320,75,240,205,20
2010-01-01,260,215,40,60,50,10.0,350,240,85,145,130,20,140,105,30,280,215,65,75,60,15.0,200,150,35,165,100,40,50,30,5.0,15,15,,30.0,15.0,5.0,125,120,10.0,435,385,45,230,200,25
2011-01-01,240,200,20,30,20,5.0,305,230,65,130,110,15,135,80,45,280,235,40,40,25,15.0,195,130,55,185,150,35,55,40,5.0,30,30,,20.0,20.0,,90,85,5.0,360,290,55,350,300,25
2012-01-01,320,285,40,45,25,15.0,330,240,80,195,170,20,145,100,40,210,195,10,65,60,10.0,175,110,50,180,100,50,50,40,5.0,35,30,5.0,15.0,15.0,,40,15,15.0,295,245,35,285,245,35
2013-01-01,320,240,40,50,35,5.0,320,240,70,200,185,15,225,170,50,335,310,30,70,60,5.0,165,120,30,200,130,60,25,15,,30,30,,35.0,25.0,10.0,45,35,5.0,465,395,45,275,255,25
2014-01-01,235,205,20,20,20,,325,225,80,245,220,20,250,175,65,325,255,60,90,80,10.0,160,120,25,230,135,70,55,45,5.0,15,15,,25.0,25.0,5.0,30,25,,450,405,35,305,245,40
2015-01-01,290,230,55,25,25,,320,220,85,165,145,5,165,120,45,290,265,20,80,60,10.0,115,90,20,135,100,30,70,60,,10,10,,40.0,35.0,5.0,50,50,,440,365,60,365,300,50
2016-01-01,260,220,35,35,35,,375,285,85,165,145,10,170,125,45,310,290,15,80,65,10.0,145,80,55,155,125,15,70,65,5.0,30,30,,50.0,25.0,5.0,45,45,5.0,480,435,25,405,325,55
2017-01-01,370,305,55,35,35,,300,205,75,195,190,5,170,130,40,200,175,15,65,40,15.0,180,135,35,175,120,40,85,75,,30,25,,35.0,30.0,5.0,75,60,10.0,435,380,30,355,295,60
2018-01-01,255,200,45,20,5,15.0,390,285,80,155,150,5,170,95,60,255,215,25,70,45,20.0,140,115,20,180,145,35,80,70,10.0,35,30,5.0,55.0,30.0,20.0,65,55,10.0,545,470,45,375,320,45
2019-01-01,265,220,25,20,20,,320,220,65,145,125,10,150,100,50,225,190,25,10,10,,200,130,35,195,130,50,65,55,5.0,50,25,,55.0,40.0,5.0,75,60,10.0,585,510,35,470,405,50
2020-01-01,185,150,25,10,10,,330,240,75,125,105,10,140,115,25,200,175,15,50,25,25.0,170,130,30,145,105,25,115,85,5.0,10,10,,50.0,35.0,,85,60,10.0,500,410,60,505,445,40
2021-01-01,275,185,55,10,5,5.0,275,205,55,190,180,5,135,95,30,295,255,35,50,45,5.0,135,90,30,135,110,20,130,90,10.0,10,10,,60.0,50.0,10.0,95,55,30.0,575,465,60,470,400,55
