Years,Overall Intentional,1 & 2 Fam Intentional,Multi Fam Intentional,Overall Playing with Heat Source,1 &2 Fam Playing with Heat Source,Multi Fam Playing with Heat Source,Overall Smoking,1 & 2 Fam Smoking,Mulit Fam Smoking,Overall Heating ,1 & 2 Fam Heating,Multi Fam Heating,Overall Cooking,1 & 2 Fam Cooking,Multi Fam Cooking,Overall Electrical Malfunction,1 & 2 Fam Electrical Malfunction,Multi Fam Electrical Malfunction,Overall Appliances ,1 & 2 Fam Appliances,Multi Fam Appliances,Overall Open Flame ,1 & 2 Open Flame ,Multi Fam Open Flame,Overall Other Heat,1 & 2 Fam Other Heat,Multi Fam Other Heat,Overall Other Equipment,1 & 2 Fam Other Equipment,Multi Fam Other Equipment,Overall Natural,1 & 2 Fam Natural,Multi Fam Natural,Overall Exposure,1 & 2 Fam Explosure,Multi Fam Exposure,Overall Equipment Malfunction,1 & 2 Fam Equipment Malfunction,Multi Fam Equipment Malfunction,"Overall Other Unintentional, Careless","1 & 2 Fam Other Unintentional, Careless","Multi Fam Other Unintentional, Careless",Overall Cause Under Investigation,1 & 2 Fam Cause Under Investigation,Multi Fam Cause Under Investigation,Total Residential*
2003-01-01,17400,17400,3200,3500,2800,700,8900,5600,2700,61100,49800,9400,153000,71600,67400,26400,22600,3100,9200,7200,1600,23700,18200,4600,17900,13500,3500,6000,2600,3000,6700,6100,400,7000,5300,1500,16100,12200,3300,22000,17100,4000,2200,1800,400,381200
2004-01-01,17500,17500,3000,3100,2400,600,9000,5600,2800,60600,49100,9900,162900,77000,71000,27000,23300,3000,8600,6800,1400,23100,18100,4300,17800,13400,3400,5600,2500,2700,6700,6100,400,7100,5500,1500,16000,12000,3300,22300,17400,4000,2400,1900,400,389800
2005-01-01,18000,18000,3300,2900,2300,600,8700,5400,2600,54200,44500,8200,155500,73600,67200,28500,24200,3400,8500,6500,1600,22900,17600,4500,17600,13300,3500,5000,2500,2200,6700,6000,500,7500,5900,1300,15100,11100,3400,22500,17300,4100,2900,2200,500,376500
2006-01-01,18100,18100,3200,3200,2500,700,9700,6000,3100,53600,44300,7800,168400,77800,74100,30000,25600,3600,9700,7600,1800,22300,17200,4300,16100,12100,3300,5000,2400,2300,7200,6500,500,7900,6400,1200,14700,10800,3400,23400,18200,4100,3300,2500,600,392700
2007-01-01,19000,19000,3400,3100,2400,600,8900,5700,2700,54400,46000,6800,161700,77100,68400,30600,26500,3300,10200,7900,1800,20900,16700,3500,15400,12000,2700,4600,2500,1600,6900,6300,500,10300,8600,1500,15200,11400,3100,25400,20200,4000,3800,2900,700,390300
2008-01-01,18300,18300,3300,2700,2200,500,8300,5300,2500,53300,44900,7100,162600,76800,69400,29100,25000,3300,9000,7000,1600,19400,15700,3200,13500,10300,2500,4500,2400,1700,6900,6300,400,8600,7100,1400,13700,10400,2700,24500,19800,3900,3800,3100,600,378200
2009-01-01,16200,16200,2600,2100,1600,400,7000,4500,2100,50200,42900,6300,164900,78000,70300,24700,21500,2800,7700,6200,1300,16200,13400,2500,12300,9600,2200,4000,2200,1500,5400,4900,400,6700,5300,1300,12300,9300,2500,23100,18800,3500,3400,2700,500,356200
2010-01-01,16000,16000,2700,2200,1700,400,7600,4900,2300,46800,40100,5900,166000,77600,71800,26100,22800,2900,8500,6800,1500,16800,13600,2700,13200,10000,2600,3900,2400,1300,6100,5500,400,7300,5900,1200,13300,10000,2800,24600,19900,3800,3700,3100,500,362100
2011-01-01,17400,17400,2800,2300,1800,500,7800,4900,2500,43700,37500,5200,166600,77400,71700,26800,23400,3000,8800,6900,1600,17000,13600,3000,13300,10200,2500,3800,2300,1200,7100,6500,500,7700,6200,1300,13300,10100,2800,24900,20000,3900,3800,3100,600,364500
2012-01-01,18800,18800,2900,2300,1700,500,9600,6100,3000,45200,38300,5500,182000,87200,76300,20200,17600,2100,16300,12600,3100,18200,14700,3000,13200,9900,2700,4100,2600,1200,7300,6500,600,8300,7000,1200,2900,2400,400,21100,17400,2800,4400,3600,700,374000
2013-01-01,17100,17100,2900,2000,1500,400,8000,5000,2500,49000,41400,6000,188000,89800,79700,23100,19900,2500,17000,13000,3200,17500,13900,3000,12600,9600,2400,4300,2700,1300,5900,5300,400,7700,6000,1500,3000,2500,300,21000,17300,2600,4300,3600,600,380300
