Years,Overall Intentional,1 & 2 Fam Intentional,Multi Fam Intentional,Overall Playing with Heat Source,1 &2 Fam Playing with Heat Source,Multi Fam Playing with Heat Source,Overall Smoking,1 & 2 Fam Smoking,Mulit Fam Smoking,Overall Heating ,1 & 2 Fam Heating,Multi Fam Heating,Overall Cooking,1 & 2 Fam Cooking,Multi Fam Cooking,Overall Electrical Malfunction,1 & 2 Fam Electrical Malfunction,Multi Fam Electrical Malfunction,Overall Appliances ,1 & 2 Fam Appliances,Multi Fam Appliances,Overall Open Flame ,1 & 2 Open Flame ,Multi Fam Open Flame,Overall Other Heat,1 & 2 Fam Other Heat,Multi Fam Other Heat,Overall Other Equipment,1 & 2 Fam Other Equipment,Multi Fam Other Equipment,Overall Natural,1 & 2 Fam Natural,Multi Fam Natural,Overall Exposure,1 & 2 Fam Explosure,Multi Fam Exposure,Overall Equipment Malfunction,1 & 2 Fam Equipment Malfunction,Multi Fam Equipment Malfunction,"Overall Other Unintentional, Careless","1 & 2 Fam Other Unintentional, Careless","Multi Fam Other Unintentional, Careless",Overall Cause Under Investigation,1 & 2 Fam Cause Under Investigation,Multi Fam Cause Under Investigation
2003-01-01,875,570,255,500,405,95,1025,655,305,675,515,110,3000,1675,1200,900,695,140,450,295,110,1875,1425,405,1050,735,275,175,135,35,125,105,15,75,30,15,900,585,295,1550,1150,340,275,225,45
2004-01-01,850,625,215,500,345,135,1050,600,355,650,540,90,3225,1780,1295,900,735,140,500,340,150,1800,1335,415,900,600,230,125,120,5,100,100,10,50,20,10,1150,815,270,1500,1070,390,325,240,75
2005-01-01,925,615,280,325,200,115,1025,505,405,625,475,115,3050,1720,1195,1125,915,160,500,395,90,1600,1115,425,950,695,215,150,140,10,75,65,15,75,60,20,1050,715,295,1500,1075,365,400,275,100
2006-01-01,750,440,255,425,315,110,1150,620,425,575,465,80,2950,1635,1185,1000,795,170,475,360,100,1475,1035,380,825,575,210,150,125,15,125,100,15,50,45,10,900,560,310,1350,930,355,375,255,95
2007-01-01,950,580,310,400,330,80,950,590,315,700,575,100,3325,1800,1380,1175,905,220,600,430,105,1475,1050,345,800,570,220,200,145,35,125,120,10,75,75,5,825,545,265,1500,1110,360,425,290,120
2008-01-01,825,505,300,400,320,45,950,580,335,600,475,95,3475,1910,1470,1075,760,285,475,320,140,1325,865,410,825,525,255,125,105,20,100,80,10,75,50,20,875,565,280,1550,1040,440,375,290,90
2009-01-01,775,455,280,300,215,95,900,515,340,550,410,125,3350,1815,1415,1150,835,280,475,340,125,1125,805,295,725,475,230,200,175,15,100,75,15,75,50,20,900,585,285,1525,1085,395,450,290,145
2010-01-01,750,480,225,425,335,100,950,605,300,575,485,65,3750,2030,1600,1050,725,285,425,290,120,1150,815,315,875,565,280,150,115,25,125,80,20,75,65,10,975,655,280,1525,1030,430,475,265,195
2011-01-01,850,555,255,350,275,70,1050,610,380,550,425,90,3675,1895,1660,1200,890,270,575,445,100,1300,815,445,900,600,280,200,165,30,175,135,25,75,65,15,950,615,305,1625,1145,425,425,285,110
2012-01-01,775,495,260,325,235,85,800,435,335,775,565,155,4425,2395,1895,900,735,145,1075,700,345,1100,780,290,775,470,290,175,155,20,150,110,25,100,75,20,125,100,10,1050,680,335,500,370,120
2013-01-01,725,425,275,250,210,45,850,510,280,725,540,170,4225,2330,1740,875,615,250,900,575,275,1150,800,295,700,420,245,200,150,30,125,100,25,75,50,15,125,105,15,1075,790,255,450,355,65
2014-01-01,625,435,170,200,145,40,775,470,260,850,665,155,4125,2175,1860,925,660,205,850,515,305,1050,665,335,725,425,270,175,155,20,125,105,30,50,25,15,150,120,15,1075,760,280,375,235,130
2015-01-01,650,410,185,150,100,45,675,415,225,575,405,130,3775,1900,1770,850,625,195,725,475,205,975,725,240,725,470,205,150,140,15,100,65,30,50,35,25,250,180,65,1350,920,385,475,350,115
2016-01-01,625,420,170,175,120,30,750,430,260,500,345,140,3475,1795,1585,800,615,155,650,420,180,925,580,315,600,395,180,175,125,35,100,70,20,75,65,10,375,245,110,1325,930,340,500,370,95
2017-01-01,700,395,260,150,100,50,700,430,245,575,420,120,3300,1625,1570,750,520,190,600,395,195,900,605,265,625,365,215,175,125,25,75,70,10,50,50,5,475,315,155,1300,910,320,500,315,160
2018-01-01,700,445,235,175,115,65,700,425,260,575,430,95,3100,1560,1445,825,670,120,725,405,270,975,635,300,675,410,245,325,230,60,100,80,10,100,60,25,550,305,230,1450,1075,345,550,350,170
2019-01-01,750,460,215,175,115,65,750,505,190,675,455,195,3550,1805,1560,1050,720,230,625,330,250,1000,695,260,725,475,175,250,190,60,150,120,30,100,80,15,625,405,200,1650,1235,360,550,370,150
2020-01-01,725,500,160,175,120,50,725,455,215,575,435,90,3175,1635,1440,975,710,190,425,220,160,975,640,285,650,420,175,275,205,45,100,60,35,100,60,40,500,320,175,1800,1185,530,650,445,130
2021-01-01,700,450,190,150,140,10,750,490,220,625,530,75,3000,1370,1505,900,650,205,525,340,160,975,645,280,625,410,160,250,180,40,150,120,20,75,45,15,400,285,105,1700,1250,355,575,410,160
