Years,Overall Res Building Fires,1 & 2 Family Fires,Multifamily Fires,Overall Deaths,1 & 2 Family Deaths,Multifamily Deaths,Overall Injuries,1 & 2 Family Injuries,Multifamily Injuries,Overall Dollars Los,1 & 2 Family Dollars Loss,Multifamily Dollars Loss
2003-01-01,381200,249400,108800,3000,2480,380,13425,9200,3650,8376800000,6603600000,1362200000
2004-01-01,389800,254600,111700,3050,2485,425,13650,9275,3775,8097100000,6227800000,1509500000
2005-01-01,376500,245900,107000,2895,2225,510,13375,8950,3800,9013900000,6929100000,1654400000
2006-01-01,392700,253800,113900,2490,1925,445,12550,8225,3725,8932300000,6960600000,1570900000
2007-01-01,390300,260700,104600,2765,2285,405,13525,9125,3875,9353500000,7520600000,1445700000
2008-01-01,378200,250400,104100,2650,2160,395,13100,8400,4200,10095500000,7750500000,1693700000
2009-01-01,356200,234100,100200,2480,1965,375,12600,8125,4050,9169400000,7199300000,1560100000
2010-01-01,362100,236900,102700,2555,2025,425,13275,8525,4250,8259900000,6567800000,1359600000
2011-01-01,364500,237700,102800,2450,1945,390,13900,8925,4450,8012500000,6183300000,1478100000
2012-01-01,374000,242700,106000,2385,1885,400,13050,8300,4325,8383000000,6529600000,1462900000
2013-01-01,380300,244700,109300,2755,2250,390,12450,7975,3975,7997800000,6040200000,1537800000
2014-01-01,379500,244000,108700,2765,2195,440,12075,7550,4100,7898200000,5953500000,1536100000
2015-01-01,380900,242300,111100,2565,2085,390,11475,7200,3825,8116300000,6050200000,1630100000
2016-01-01,364300,231600,105800,2775,2290,360,11025,6925,3625,8266200000,6496000000,1371400000
2017-01-01,371500,233800,109600,2695,2200,385,10825,6650,3800,8619200000,6081200000,2191400000
2018-01-01,379600,237000,110200,2790,2220,440,11525,7175,3875,8842700000,6596300000,1811600000
2019-01-01,354400,220600,100300,2830,2240,375,12625,7950,3950,8338100000,6321400000,1454900000
2020-01-01,372000,227300,107800,2615,2095,345,11825,7400,3725,9008700000,6539000000,1804900000
2021-01-01,353500,215700,100500,2840,2235,405,11400,7300,3500,8855900000,6452300000,1808400000
